Feature,SAT1-SAT2,SAT1-SAT3,SAT2-SAT3,SAT1,SAT2,SAT3
P0,"(-0.0032,0.0001)","(-0.009,-0.0037)","(-0.0076,-0.002)","(0.0076,0.0095)","(0.0088,0.0115)","(0.0124,0.0173)"
r,"(0.9753,1.8143)","(1.7961,2.586)","(0.609,0.9652)","(3.2763,4.0313)","(2.0958,2.3911)","(1.3608,1.5476)"
TimeMax,"(-1.2075,-0.65)","(-2.8475,-2.2825)","(-1.8833,-1.38)","(3.44,3.8775)","(4.4325,4.795)","(6.0733,6.4167)"
K,"(-0.3296,2.4358)","(-4.4299,-0.812)","(-5.5017,-1.8557)","(5.7893,7.7135)","(4.7584,6.7302)","(7.85,10.9611)"
maxViral,"(0.3224,2.7388)","(-2.5236,0.3747)","(-3.9266,-1.2285)","(5.76,7.6598)","(4.4579,5.9535)","(6.6485,8.8655)"
EAR,"(4.3395,12.7007)","(11.2493,21.7305)","(1.9077,14.9914)","(-0.8126,-0.4439)","(-13.3111,-4.968)","(-22.3551,-11.909)"
cumViral,"(11.3065,18.2202)","(1.4398,9.7756)","(-12.6533,-5.6557)","(26.0487,31.9377)","(12.5051,16.1247)","(20.3386,26.3826)"
I0,"(-0.2083,0.5129)","(-1.3548,-0.3231)","(-1.4959,-0.4776)","(1.6604,2.1931)","(1.5323,2.0236)","(2.3157,3.205)"
k,"(-0.0941,-0.0117)","(-0.0312,0.0481)","(0.0175,0.1045)","(0.1094,0.1618)","(0.1564,0.2209)","(0.0978,0.157)"
b,"(-0.4791,-0.3045)","(-0.1733,-0.0262)","(0.1941,0.3969)","(0.3081,0.38)","(0.6541,0.8135)","(0.3786,0.5045)"
delta,"(-0.9875,-0.3743)","(-0.5062,0.1759)","(0.1518,0.8844)","(1.7003,2.0795)","(2.3182,2.7917)","(1.7572,2.3226)"
P0,"(-0.0032,0.0001)","(-0.0089,-0.0037)","(-0.0075,-0.0019)","(0.0076,0.0095)","(0.0088,0.0114)","(0.0123,0.0172)"
r,"(0.9593,1.8184)","(1.7619,2.5605)","(0.5790,0.9555)","(3.2654,4.0188)","(2.084,2.4007)","(1.3725,1.5676)"
TimeMax,"(-1.21,-0.63)","(-2.8950,-2.2875)","(-1.9683,-1.3800)","(3.4225,3.8525)","(4.39,4.79)","(6.0467,6.5833)"
K,"(-0.4178,2.5704)","(-3.9335,-0.1572)","(-5.0891,-1.1501)","(5.8326,7.7683)","(4.6555,6.8801)","(7.768,10.4041)"
maxViral,"(0.3338,2.8468)","(-2.1712,0.7877)","(-3.7034,-0.8917)","(5.8005,7.706)","(4.3779,5.9867)","(6.2993,8.5833)"
