Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.194356,8.748912,2.884967,0.3957127,2.020199,4.214991,0.01363079,0.01374107,8.561234,2.8825,25.1091
Needle SAT1 Hapto,SAT1,0.1679143,9.390832,2.757036,0.3549435,2.468129,4.126783,0.01822163,0.01723,9.230143,2.8575,26.56941
Needle SAT1 Hapto,SAT1,0.1422086,10.14154,2.782626,0.3627706,2.883972,3.474845,0.01593914,0.01623541,9.850977,3.135,26.03538
Needle SAT1 Hapto,SAT1,0.1642277,9.709494,2.646635,0.3663749,2.638595,3.622344,0.01649836,0.01571153,9.508489,3.0875,25.70499
Needle SAT1 Hapto,SAT1,0.1354229,10.33767,2.49035,0.3336766,2.769771,3.700833,0.01530628,0.01517401,10.11236,3.095,28.79209
Needle SAT1 Hapto,SAT1,0.1554761,8.664333,2.764809,0.3951163,2.720498,4.095432,0.01293712,0.01437458,8.463421,2.8725,23.53388
Needle SAT1 Hapto,SAT1,0.1480501,10.00675,2.706531,0.3520535,2.743739,3.635781,0.01541138,0.01461811,9.777684,3.105,26.80198
Needle SAT1 Hapto,SAT1,0.1918587,10.16089,2.56729,0.3698758,2.400177,3.557743,0.01548212,0.01460518,9.929189,3.1525,26.06906
Needle SAT1 Hapto,SAT1,0.1689915,9.369807,2.608382,0.3628051,2.41224,4.000202,0.01743101,0.01647605,9.203124,2.925,26.63678
Needle SAT1 Hapto,SAT1,0.163786,7.851175,2.693971,0.3995824,2.343019,4.187271,0.01361557,0.0148466,7.760956,2.8675,24.32845
Needle SAT1 Hapto,SAT1,0.1587401,10.06344,2.529814,0.3513389,2.604346,3.818808,0.01648916,0.01576241,9.837318,3.0025,27.09468
Needle SAT1 Hapto,SAT1,0.1294292,8.927723,2.815687,0.3361263,2.737166,4.557874,0.01718126,0.01633785,8.800074,2.7225,27.65836
Needle SAT1 Hapto,SAT1,0.1486354,9.542592,2.905555,0.3597727,2.764649,4.281513,0.01721863,0.01653462,9.348628,2.7875,26.86892
Needle SAT1 Hapto,SAT1,0.1727899,9.583732,2.673858,0.3811743,2.378754,3.978429,0.0143073,0.01455789,9.38449,2.975,25.41963
Needle SAT1 Hapto,SAT1,0.1346811,10.29963,2.664317,0.3530349,2.848224,3.551619,0.01427811,0.01508289,10.03932,3.1175,26.60176
Needle SAT1 Hapto,SAT1,0.1596748,9.076289,2.853248,0.3682341,2.581608,4.364307,0.01608955,0.01530727,8.909006,2.7775,25.52462
Needle SAT1 Hapto,SAT1,0.1214384,9.703144,2.672662,0.3519972,3.122873,3.678989,0.01654886,0.01566875,9.48949,3.0475,25.91324
Needle SAT1 Hapto,SAT1,0.148449,9.022785,2.548359,0.3605445,2.58093,3.920001,0.01388865,0.01543183,8.879457,2.9975,26.34374
Needle SAT1 Hapto,SAT1,0.1412439,9.082622,2.56863,0.3974605,2.845792,3.645809,0.01336409,0.01334139,8.862853,3.095,24.55601
Needle SAT1 Hapto,SAT1,0.1572613,8.787795,2.717813,0.3812518,2.593017,3.800593,0.01539159,0.01466312,8.635091,3.0375,24.96003
Needle SAT1 Hapto,SAT1,0.1756162,8.979688,2.649201,0.3895146,2.557303,4.001724,0.0161254,0.01548658,8.803042,2.885,24.03507
Needle SAT1 Hapto,SAT1,0.1481263,9.743365,2.732045,0.3525978,2.810895,4.004668,0.0167282,0.01604084,9.556,2.895,26.46724
Needle SAT1 Hapto,SAT1,0.1712839,9.985274,2.662967,0.3597823,2.522858,3.658645,0.01704032,0.0154912,9.765832,3.09,26.14034
Needle SAT1 Hapto,SAT1,0.1688562,9.957061,2.782097,0.3566633,2.580605,3.570209,0.01669009,0.01566813,9.725576,3.12,25.96396
Needle SAT1 Hapto,SAT1,0.1936514,9.332146,2.727659,0.3945578,2.292659,4.088517,0.015144,0.01521196,9.091199,2.895,24.57851
Needle SAT1 Hapto,SAT1,0.1250793,9.149247,2.708164,0.3395521,2.900568,4.404889,0.01809761,0.01728909,9.007953,2.7425,27.40265
Needle SAT1 Hapto,SAT1,0.1553536,9.780323,2.688406,0.3573661,2.584342,3.819713,0.01809275,0.01714813,9.635363,2.995,27.79071
Needle SAT1 Hapto,SAT1,0.1680206,7.786567,2.859358,0.3725842,2.340786,4.927858,0.01432779,0.01490521,7.712916,2.6025,26.17599
Needle SAT1 Hapto,SAT1,0.153667,8.994131,2.702186,0.3649787,2.738976,4.255749,0.01809533,0.01752253,8.856136,2.8225,25.59346
Needle SAT1 Hapto,SAT1,0.1620053,9.158508,2.766497,0.3842564,2.722216,3.960684,0.01772498,0.01689513,8.966853,2.88,24.72531
Needle SAT1 Hapto,SAT1,0.1516954,9.445191,2.658497,0.354771,2.640771,3.972984,0.01644833,0.01717915,9.281325,2.9225,26.73075
Needle SAT1 Hapto,SAT1,0.1606631,7.143951,2.689788,0.4165227,2.572432,4.474638,0.01347884,0.01433738,7.067294,2.7575,23.1203
Needle SAT1 Hapto,SAT1,0.1542323,8.696764,2.558605,0.3703319,2.494281,3.897018,0.01682799,0.017466,8.573536,2.95,25.95004
Needle SAT1 Hapto,SAT1,0.1686076,9.119446,2.733741,0.3611904,2.438815,4.029695,0.01585289,0.01665177,8.962651,2.8925,26.12143
Needle SAT1 Hapto,SAT1,0.1494101,9.47523,2.571166,0.3454632,2.695922,3.85034,0.01554724,0.01548218,9.305275,3.0075,27.23971
Needle SAT1 Hapto,SAT1,0.1816684,9.264288,2.797935,0.3662475,2.40077,4.165077,0.01382601,0.01463673,9.0437,2.9075,26.3195
Needle SAT1 Hapto,SAT1,0.1452665,8.762494,2.493769,0.3715626,2.756116,3.879544,0.01657025,0.01654548,8.617563,2.955,25.62325
Needle SAT1 Hapto,SAT1,0.1542149,9.180472,2.598337,0.3695612,2.742788,3.991499,0.01839488,0.01672262,9.037072,2.8675,25.65206
Needle SAT1 Hapto,SAT1,0.1405559,9.724447,2.715548,0.3560519,2.770196,3.786242,0.01588375,0.01519474,9.511129,3,26.37794
Needle SAT1 Hapto,SAT1,0.1426609,10.00307,2.688324,0.3568928,2.861612,3.604546,0.01455566,0.01443081,9.769443,3.1225,26.02762
Needle SAT1 Hapto,SAT1,0.1714924,9.666105,2.648521,0.3664353,2.538322,3.71419,0.01824561,0.01658692,9.472111,3.015,25.69343
