"Group","ID","Day0","Day2","Day4","Day6","Day9","Day12","Day28"
"SAT1",2,517,3023,282412,577675,629014,648604,5803
"SAT1",4,721,3103,419320,561161,671676,490533,749
"SAT1",19,745,8252,597283,279613,660116,359101,182
"SAT1",33,482,596,453142,478447,537771,156286,1068
"SAT2",5,695,2423,172404,560970,405938,236054,842
"SAT2",9,353,523,23584,562877,378817,604077,568
"SAT2",22,729,639,605,284530,628712,659085,982
"SAT2",29,632,167450,155722,333335,655753,150979,900
"SAT3",12,836,6492,1005,1033,154080,2251,753
"SAT3",15,562,1614,730,605,914,180338,621
"SAT3",16,2188,168613,194368,308538,635514,294441,800
"SAT3",17,721,938,1242,3784,1526,378,582
