"Group","ID","Day0","Day2","Day4","Day6","Day8","Day11","Day14","Day30"
"SAT1",7,614,499972,569919,603943,666646,254508,4216,1092
"SAT1",10,495,268441,496063,534818,671178,215891,61735,2235
"SAT1",11,832,420131,509902,496063,340737,173174,99771,777
"SAT1",13,567,311815,414441,589788,430089,615518,4346,776
"SAT2",8,256,643331,504247,607667,578035,289737,380657,905
"SAT2",20,410,203814,42000,605997,544435,646094,428448,177
"SAT2",28,597,378458,631201,675138,640699,687519,181989,5128
"SAT2",32,269,452123,599194,646825,606643,687700,192908,5223
"SAT3",26,503,166038,449839,430865,428537,568652,6288,958
"SAT3",27,394,228343,293986,269622,169264,99022,931,2362
"SAT3",34,235,298341,417155,660863,236666,34759,80,862
"SAT3",35,835,322875,444714,623490,418159,446771,118981,601
