"Group","ID","Day0","Day2","Day4","Day6","Day8","Day11","Day14","Day30"
"SAT1_Needle",7,0,7.67,7.36,3.53,0,0,0,0
"SAT1_Needle",10,0,7.35,5.56,0,0,0,0,0
"SAT1_Needle",11,0,6.31,5.8,0,0,0,0,0
"SAT1_Needle",13,0,6.49,6.79,3.27,0,0,0,0
"SAT2_Needle",8,0,6.4,3.84,0,0,0,0,0
"SAT2_Needle",20,0,7.31,5.91,3.5,0,0,0,0
"SAT2_Needle",28,0,5.2,2.63,3.85,0,2.75,0,0
"SAT2_Needle",32,0,6.09,5.05,5.22,0,0,0,0
"SAT3_Needle",26,0,7.46,3.2,0,0,0,0,0
"SAT3_Needle",27,0,5.46,5.38,0,0,0,0,0
"SAT3_Needle",34,0,5.22,4.09,0,0,0,0,0
"SAT3_Needle",35,0,5.7,4.01,0,0,0,0,0
