"ID","k","K","delta","b","r","nu","I0","A0","P0","vmax","tmax","cumviral","start"
"SAT1",0.374183,8.42693,1.66928,0.109079,4.07699,7.99119,2.9678,0.145774,0.00692478,7.29591,3.10407,30.1297,0.214075
"SAT1",0.396408,8.65657,1.59462,0.107165,4.15688,6.84848,2.92359,0.146715,0.00735811,7.53803,3.11975,29.9958,0.31225
"SAT1",0.249264,9.2323,1.82474,0.089847,4.86017,7.75127,3.68214,0.182359,0.00685778,7.93669,3.0236,34.3282,0.4411
"SAT1",0.335113,7.66319,1.45136,0.113024,3.91676,7.16682,3.34206,0.175786,0.00849181,6.60076,3.41325,28.3441,0.45075
"SAT1",0.315079,8.35947,1.45064,0.102033,4.26401,5.25051,2.90229,0.182972,0.00806984,7.26177,3.02818,32.0118,0.170675
"SAT1",0.246427,8.62688,1.63378,0.113288,4.59647,6.29746,3.43893,0.165928,0.00761045,7.47411,3.02775,30.5431,0.40025
"SAT1",0.257149,8.55268,1.84649,0.104101,4.951,6.70314,3.36177,0.157135,0.00865197,7.46471,3.00825,32.1277,0.52075
"SAT1",0.313189,7.00071,1.68896,0.116172,5.01947,6.96006,3.61311,0.181955,0.00793627,6.01296,2.86083,26.8012,0.410833
"SAT1",0.310837,9.75,1.35412,0.0856296,4.0293,7.99197,3.48217,0.27121,0.0076858,7.92424,3.4244,33.5847,0.4094
"SAT1",0.298821,9.46325,1.97763,0.0888111,4.82761,6.57156,3.50041,0.254564,0.00932464,7.76581,2.8605,31.8109,0.333
"SAT1",0.326318,7.92251,1.42508,0.098369,4.01065,6.77642,3.35942,0.251228,0.00764535,6.47459,3.5532,28.7954,0.4982
"SAT1",0.318002,7.98413,1.68586,0.098932,4.34005,7.5325,3.21111,0.208952,0.00760342,6.8227,3.11325,29.4621,0.41075
"SAT1",0.265736,7.12927,1.61263,0.10346,4.5119,6.40389,3.31361,0.246834,0.00808691,5.98428,2.959,29.4962,0.249
"SAT1",0.241859,9.10371,1.65873,0.0903188,4.57022,6.61736,3.38791,0.193618,0.00812341,7.75105,3.1033,33.4464,0.4833
"SAT1",0.27073,9.60142,1.97229,0.0900081,4.53199,5.5388,3.26377,0.206998,0.00914515,7.78248,3.4153,31.7719,0.5353
"SAT1",0.306423,8.72689,1.45013,0.108896,4.11073,6.66782,3.17712,0.181463,0.00799782,7.44936,3.345,30.103,0.3025
"SAT1",0.272896,8.75526,1.7311,0.0940631,4.08865,7.46307,3.27782,0.206158,0.00799678,7.15354,3.434,30.4894,0.489
"SAT1",0.31995,9.30082,1.77696,0.0968474,4.67902,8.75202,3.41052,0.117473,0.00796742,8.33945,3.1393,36.1308,0.4718
"SAT1",0.251282,7.90098,1.84732,0.100376,5.12512,7.90015,3.6394,0.217275,0.00796952,6.8297,2.90625,29.1114,0.51625
"SAT1",0.325335,9.17182,1.87871,0.0944225,4.80979,6.34168,3.30617,0.187395,0.0093019,7.78589,3.02468,31.6093,0.502175
"SAT1",0.278216,9.75806,1.62056,0.0950231,3.97371,8.25787,3.59761,0.168278,0.00878985,8.26106,3.1395,33.9245,0.227
"SAT1",0.266308,7.05759,1.83488,0.106363,4.81402,5.90724,3.50005,0.245847,0.0079603,5.81478,3.14275,26.5517,0.61025
"SAT1",0.301535,9.52447,1.56241,0.0968064,4.16063,5.29889,3.1154,0.21175,0.00754028,7.90799,3.45075,32.755,0.48075
"SAT1",0.277095,7.29404,1.72505,0.0933608,4.81476,5.64173,3.19536,0.245526,0.00811929,6.26447,2.746,30.596,0.231
"SAT1",0.303893,9.49607,1.65085,0.102297,4.13681,8.05372,3.35685,0.215865,0.00852227,7.56183,3.51525,28.2674,0.57275
"SAT1",0.299429,9.24694,1.5293,0.0916167,4.36402,8.98491,3.17277,0.166793,0.00923701,8.14035,3.19393,35.0833,0.426425
"SAT1",0.281639,7.3283,1.73589,0.111091,5.24141,4.99249,2.8821,0.160394,0.0079326,6.59462,2.843,31.846,0.3555
"SAT1",0.307351,9.55432,1.74304,0.0947174,4.37444,5.57924,2.79183,0.175177,0.0084786,8.13735,3.16825,33.6109,0.44825
"SAT1",0.290998,8.86594,1.84932,0.0886887,4.66987,7.12536,3.24184,0.182773,0.00842466,7.71909,3.0752,34.3522,0.4502
"SAT1",0.297827,9.19083,1.35479,0.0975061,3.63704,7.26076,3.64624,0.171041,0.0059117,7.65387,3.66145,32.4416,0.30145
"SAT1",0.260303,8.53046,1.90189,0.0860383,4.77914,7.58841,3.82104,0.196546,0.00799574,7.35763,2.9671,33.3151,0.387103
"SAT1",0.291538,8.24025,1.49999,0.105229,4.20423,8.3061,3.45469,0.210322,0.00756584,6.80032,3.413,29.5491,0.403
"SAT1",0.383246,8.94127,1.42664,0.109314,3.58602,7.89262,3.32774,0.151974,0.00762206,7.49049,3.5024,29.6124,0.2824
"SAT1",0.39093,8.39005,1.49337,0.130651,3.56494,9.11851,3.41253,0.137062,0.00871568,7.20755,3.61925,27.2762,0.41675
