ID,Transm,meanGrow
SAT1,0.757,3.4812
SAT1,0.758,3.4812
SAT1,0.758,3.4812
SAT1,0.758,3.4812
SAT1,0.759,3.4812
SAT1,0.759,3.4812
SAT1,0.759,3.4812
SAT1,0.761,3.4812
SAT1,0.761,3.4812
SAT1,0.761,3.4812
SAT1,0.762,3.4812
SAT1,0.762,3.4812
SAT1,0.762,3.4812
SAT1,0.762,3.4812
SAT1,0.762,3.4812
SAT1,0.762,3.4812
SAT1,0.762,3.4812
SAT1,0.763,3.4812
SAT1,0.764,3.4812
SAT1,0.765,3.4812
SAT1,0.765,3.4812
SAT1,0.765,3.4812
SAT1,0.765,3.4812
SAT1,0.766,3.4812
SAT1,0.766,3.4812
SAT1,0.766,3.4812
SAT1,0.766,3.4812
SAT1,0.767,3.4812
SAT1,0.767,3.4812
SAT1,0.767,3.4812
SAT1,0.767,3.4812
SAT1,0.768,3.4812
SAT1,0.768,3.4812
SAT1,0.768,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.769,3.4812
SAT1,0.77,3.4812
SAT1,0.77,3.4812
SAT1,0.77,3.4812
SAT1,0.771,3.4812
SAT1,0.772,3.4812
SAT1,0.774,3.4812
SAT1,0.774,3.4812
SAT1,0.774,3.4812
SAT1,0.774,3.4812
SAT1,0.775,3.4812
SAT1,0.776,3.4812
SAT1,0.777,3.4812
SAT1,0.777,3.4812
SAT1,0.778,3.4812
SAT1,0.779,3.4812
SAT1,0.779,3.4812
SAT1,0.779,3.4812
SAT1,0.78,3.4812
SAT1,0.78,3.4812
SAT1,0.78,3.4812
SAT1,0.78,3.4812
SAT1,0.781,3.4812
SAT1,0.782,3.4812
SAT1,0.782,3.4812
SAT1,0.785,3.4812
SAT1,0.785,3.4812
SAT1,0.785,3.4812
SAT1,0.786,3.4812
SAT1,0.786,3.4812
SAT1,0.787,3.4812
SAT1,0.787,3.4812
SAT1,0.789,3.4812
SAT1,0.789,3.4812
SAT1,0.789,3.4812
SAT1,0.79,3.4812
SAT1,0.79,3.4812
SAT1,0.79,3.4812
SAT1,0.79,3.4812
SAT1,0.791,3.4812
SAT1,0.791,3.4812
SAT1,0.792,3.4812
SAT1,0.793,3.4812
SAT1,0.793,3.4812
SAT1,0.793,3.4812
SAT1,0.794,3.4812
SAT1,0.795,3.4812
SAT1,0.795,3.4812
SAT1,0.796,3.4812
SAT1,0.796,3.4812
SAT1,0.797,3.4812
SAT1,0.797,3.4812
SAT1,0.797,3.4812
SAT1,0.797,3.4812
SAT1,0.798,3.4812
SAT1,0.798,3.4812
SAT1,0.798,3.4812
SAT1,0.799,3.4812
SAT1,0.8,3.4812
SAT1,0.8,3.4812
SAT1,0.802,3.4812
SAT1,0.802,3.4812
SAT1,0.802,3.4812
SAT1,0.802,3.4812
SAT1,0.803,3.4812
SAT1,0.805,3.4812
SAT1,0.806,3.4812
SAT1,0.806,3.4812
SAT1,0.806,3.4812
SAT1,0.807,3.4812
SAT1,0.807,3.4812
SAT1,0.81,3.4812
SAT1,0.81,3.4812
SAT1,0.811,3.4812
SAT1,0.811,3.4812
SAT1,0.811,3.4812
SAT1,0.811,3.4812
SAT1,0.813,3.4812
SAT1,0.813,3.4812
SAT1,0.813,3.4812
SAT1,0.813,3.4812
SAT1,0.813,3.4812
SAT1,0.813,3.4812
SAT1,0.814,3.4812
SAT1,0.814,3.4812
SAT1,0.814,3.4812
SAT1,0.814,3.4812
SAT1,0.815,3.4812
SAT1,0.815,3.4812
SAT1,0.815,3.4812
SAT1,0.815,3.4812
SAT1,0.816,3.4812
SAT1,0.816,3.4812
SAT1,0.816,3.4812
SAT1,0.816,3.4812
SAT1,0.816,3.4812
SAT1,0.817,3.4812
SAT1,0.817,3.4812
SAT1,0.818,3.4812
SAT1,0.818,3.4812
SAT1,0.818,3.4812
SAT1,0.818,3.4812
SAT1,0.818,3.4812
SAT1,0.818,3.4812
SAT1,0.819,3.4812
SAT1,0.819,3.4812
SAT1,0.819,3.4812
SAT1,0.82,3.4812
SAT1,0.82,3.4812
SAT1,0.82,3.4812
SAT1,0.82,3.4812
SAT1,0.821,3.4812
SAT1,0.821,3.4812
SAT1,0.822,3.4812
SAT1,0.822,3.4812
SAT1,0.823,3.4812
SAT1,0.823,3.4812
SAT1,0.824,3.4812
SAT1,0.824,3.4812
SAT1,0.824,3.4812
SAT1,0.824,3.4812
SAT1,0.824,3.4812
SAT1,0.824,3.4812
SAT1,0.824,3.4812
SAT1,0.825,3.4812
SAT1,0.825,3.4812
SAT1,0.825,3.4812
SAT1,0.826,3.4812
SAT1,0.827,3.4812
SAT1,0.827,3.4812
SAT1,0.827,3.4812
SAT1,0.828,3.4812
SAT1,0.828,3.4812
SAT1,0.828,3.4812
SAT1,0.829,3.4812
SAT1,0.829,3.4812
SAT1,0.83,3.4812
SAT1,0.831,3.4812
SAT1,0.831,3.4812
SAT1,0.831,3.4812
SAT1,0.831,3.4812
SAT1,0.832,3.4812
SAT1,0.832,3.4812
SAT1,0.832,3.4812
SAT1,0.832,3.4812
SAT1,0.833,3.4812
SAT1,0.833,3.4812
SAT1,0.834,3.4812
SAT1,0.834,3.4812
SAT1,0.835,3.4812
SAT1,0.836,3.4812
SAT1,0.838,3.4812
SAT1,0.839,3.4812
SAT1,0.839,3.4812
SAT1,0.839,3.4812
SAT1,0.84,3.4812
SAT1,0.84,3.4812
SAT1,0.841,3.4812
SAT1,0.841,3.4812
SAT1,0.841,3.4812
SAT1,0.842,3.4812
SAT1,0.842,3.4812
SAT1,0.842,3.4812
SAT1,0.842,3.4812
SAT1,0.842,3.4812
SAT1,0.842,3.4812
SAT1,0.842,3.4812
SAT1,0.844,3.4812
SAT1,0.845,3.4812
SAT1,0.846,3.4812
